Cuve,H.Vide,Coefficient
T841,893,273.25
T805,695,125.6
T840,585,282.6
T301,530,41.17
T820,705,47.98
T821,705,47.98
T822,705,47.98
T830,0,1000
T831,0,1000
T832,0,1000
T807,515,64.21
T808,595,93.44
T810,515,62.43
V110,475,31.4
C AGL Sy,466,59.3
T804,495,66.06
T809,520,66.02
T806,515,66.052
T811,525,66.02
T842,847,275.11
T843,820,277.91
Bassin 2,605,400
Bassin 3,605,400
Bassin 4,565,400
1500- 1,1719,1038
1500- 2,1719,1038
1500- 3,1722,1038
1500- 4,1722,1038
1500- 5,1702,1038
1500-6,1717,0.91
500-1,1660,351.335
500-2,1680,351.335
500-3,1680,351.335
500-4,1680,351.335
C130-1,1215,113
C130-2,1215,113
C130-3,1215,113
C65- 1,1045,61.5
C65- 2,1045,61.5
C65- 3,1045,61.5
C65- 4,1045,61.5
C65- 5,1045,61.5
C65- 6,1045,61.5
C65- 7,1045,61.5
C65- 8,1045,61.5
C65- 9,1045,61.5
C65- 10,1045,61.5
C65- 11,1045,61.5
C65- 12,1045,61.5
C65- 13,1045,61.5
C65- 14,1045,61.5
